Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O23,1/2,+,1,-69.1507264,O23,1/2,+,1,-69.1507264,7.69732435,0.4122446379714952,-0.0712277383866927,2.9371971570844204
3772,6,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O23,1/2,+,1,-106.4682919,O23,1/2,+,1,-106.4682919,7.19195014,0.3738716090847024,-0.060703179604332,2.844978815295532
3772,8,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O23,1/2,+,1,-129.4242508,O23,1/2,+,1,-129.4242508,6.85646373,0.4116714979927965,-0.0647203559256241,2.7914513719689213
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O23,1/2,+,1,-62.2674701,O23,1/2,+,1,-62.2674701,8.12950619,0.6555354731867403,-0.048177735304024,3.053792693992622
5287,6,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O23,1/2,+,1,-99.7742457,O23,1/2,+,1,-99.7742457,7.66034052,0.6410141617975533,-0.0503778743846506,2.97317384244731
5287,8,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O23,1/2,+,1,-123.257048,O23,1/2,+,1,-123.257048,7.31283656,0.6425907968749095,-0.05848898700664,2.913026649357721
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O23,1/2,+,1,-106.8308286,O23,1/2,+,1,-106.8308286,7.12426891,0.3045991873752376,-0.0725564335937551,2.818704942660988
7078,6,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O23,1/2,+,1,-136.991779,O23,1/2,+,1,-136.991779,6.69738599,0.2796434716114747,-0.0548322073970706,2.7406172925482326
7078,8,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O23,1/2,+,1,-152.12021,O23,1/2,+,1,-152.12021,6.48690826,0.3130518670185188,-0.0554059670517578,2.708014041685671
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O23,1/2,+,1,-91.1549543,O23,1/2,+,1,-91.1549543,7.52234645,0.3403553575843991,-0.0761205425372676,2.8940226597328382
15412,6,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O23,1/2,+,1,-120.139164,O23,1/2,+,1,-120.139164,7.11238939,0.3089691847625706,-0.0557479217105405,2.820353974779058
15412,8,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O23,1/2,+,1,-134.91443600000002,O23,1/2,+,1,-134.91443600000002,6.49506206,1.5653813165230726,-0.8947654895551763,2.7846837840171186
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O23,1/2,+,1,-68.9678691,O23,1/2,+,1,-68.9678691,8.36588064,0.6462007389323371,-0.0474507442522905,3.090860159353711
17355,6,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O23,1/2,+,1,-105.7516044,O23,1/2,+,1,-105.7516044,7.91926968,0.6288540453033862,-0.0497387920601653,3.0144934604744495
