id,path,shared_latent_dim,hidden_dim,n_embedding_dim,fidelity_embedding_dim
1,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
2,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
3,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
4,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
5,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
6,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
7,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
8,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
9,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,8,64,20,8
10,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
11,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
12,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
13,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
14,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
15,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
16,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
17,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
18,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,10,64,20,8
19,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
20,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
21,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
22,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
23,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
24,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
25,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
26,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
27,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,16,64,20,8
28,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
29,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
30,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
31,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
32,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
33,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
34,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
35,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
36,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,20,64,20,8
37,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
38,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
39,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
40,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
41,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
42,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
43,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
44,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
45,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,24,64,20,8
46,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
47,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
48,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
49,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
50,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
51,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
52,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
53,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
54,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,32,64,20,8
55,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
56,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
57,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
58,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
59,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
60,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
61,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
62,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
63,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,48,64,20,8
64,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
65,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
66,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_EMB,64,64,20,8
