id,path,shared_latent_dim,hidden_dim,n_embedding_dim,fidelity_embedding_dim
1,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,16,2
2,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,16,4
3,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,16,8
4,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,16,16
5,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,20,2
6,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,20,4
7,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,20,8
8,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,20,16
9,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,24,2
10,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,24,4
11,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,24,8
12,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,24,16
13,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,32,2
14,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,32,4
15,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,32,8
16,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,24,32,16
17,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,16,2
18,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,16,4
19,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,16,8
20,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,16,16
21,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,20,2
22,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,20,4
23,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,20,8
24,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,20,16
25,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,24,2
26,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,24,4
27,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,24,8
28,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,24,16
29,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,32,2
30,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,32,4
31,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,32,8
32,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,32,32,16
33,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,16,2
34,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,16,4
35,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,16,8
36,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,16,16
37,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,20,2
38,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,20,4
39,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,20,8
40,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,20,16
41,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,24,2
42,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,24,4
43,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,24,8
44,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,24,16
45,/work/submit/josemm/WORKS/Theory/BANANNE/LABS/ABLATION_SHARED,8,64,32,2
