Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
3772,6,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O20,0,+,1.0,-100.3160517,O20,0,+,1.0,-100.3160517,7.16828561,0.2194660692189012,0.0022677277656435,2.8323012369775475,8,12,-98.96944,2.8738568,2.2606969559141765,0.02637823668531116
5287,6,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O20,0,+,1.0,-96.0243854,O20,0,+,1.0,-96.0243854,7.6069082,0.3974938045531017,0.011337618920444,2.9406887821518186,8,12,-94.30373,2.976042,2.281799438822875,0.027054921720650115
7078,6,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O20,0,+,1.0,-124.743829,O20,0,+,1.0,-124.743829,6.68163736,0.1435659099321561,0.0074691135685633,2.732138955745245,8,12,-122.15559,2.7705042,2.1623337980565633,0.027160046107597712
15412,6,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O20,0,+,1.0,-113.1253801,O20,0,+,1.0,-113.1253801,7.09664573,0.1594055583202661,0.0072712784839122,2.8098458065887133,8,12,-110.93939,2.855386,2.072437054883072,0.02882480264770923
17355,6,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O20,0,+,1.0,-100.7386154,O20,0,+,1.0,-100.7386154,7.87186989,0.3742188508564363,0.0116640021558334,2.9815538957081205,8,12,-98.95823,3.029452,2.270225439798342,0.027804979124835844
17862,6,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,O20,0,+,1.0,-98.4575676,O20,0,+,1.0,-98.4575676,7.61452909,0.2597485805764611,0.0052682823050467,2.91744011813122,8,12,-95.80452,2.9543345,2.249521314738889,0.027583354018550076
18060,6,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,O20,0,+,1.0,-104.1518494,O20,0,+,1.0,-104.1518494,7.42691948,0.20106454309891,0.0064685494903071,2.8751284254080227,8,12,-101.80407,2.9227135,2.1379704154510017,0.028031499702436045
23778,6,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,O20,0,+,1.0,-104.8515163,O20,0,+,1.0,-104.8515163,7.7027035,0.274161824718691,0.010394402189398,2.935842403281908,8,12,-102.82438,2.9753706,2.2407519821069037,0.027048889721668287
25266,6,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,O20,0,+,1.0,-102.365027,O20,0,+,1.0,-102.365027,7.02953032,0.2748665505375833,0.0096177198610834,2.818851801780056,8,12,-100.475006,2.8597853,2.1264791892471178,0.027494508068737458
26807,6,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,O20,0,+,1.0,-107.7184273,O20,0,+,1.0,-107.7184273,7.20359376,0.1864175918191151,0.0055266115274846,2.8332752872508875,8,12,-105.94379,2.8721786,2.148807539813608,0.026772600730181367
29451,6,-0.331056927,-0.337961082198,-0.332460168577,-0.258502156255,2.453895716358,0.467355808233,-0.025697490676,-1.02929826274,0.953856369543,0.466616626347,-0.867184494074,-0.708004970964,-0.449185100476,-0.703489464765,0.97091337316,1.661469582368,0.337769901169,O20,0,+,1.0,-126.750288,O20,0,+,1.0,-126.750288,6.88020279,0.2247398701921886,0.0092361374996352,2.7831797799804137,8,12,-124.17328,2.8205194,2.0996138397989283,0.02859845675043145
