Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch,Z,N,eb_pred,r_pred,eb_unc,r_unc
3772,4,-0.318321717464,-0.324232720555,-0.323173810537,-0.241144983307,2.223150839042,0.483495417341,-0.032536234121,-1.095733613593,0.883608052288,0.232495818763,-0.872389636749,-0.743915446073,-0.500105210151,-0.651971735281,0.949867846418,-1.658594602415,-0.415280755698,O24,0,+,1.0,-70.6280742,O24,0,+,1.0,-70.6280742,7.72028878,0.5287383806339663,-0.0919073603646138,2.954916359267949,8,16,-68.137276,2.9937508,2.4664541685864636,0.03768308948514184
5287,4,-0.355975966789,-0.357231173798,-0.356216176467,-0.242183388595,2.779207512741,0.429880719176,-0.125734894987,-1.369509152273,0.905655842577,0.20654970276,-0.868544396381,-0.741224902628,-0.820088817984,-0.221434314263,0.757740279093,3.187886167978,0.719712036447,O24,0,+,1.0,-63.1816165,O24,0,+,1.0,-63.1816165,8.16067401,0.7818303484461091,-0.0590454518144416,3.0753649859214542,8,16,-60.61317,3.0997715,2.5445281705830416,0.03529090571000342
7078,4,-0.333445465249,-0.336911362318,-0.337506725737,-0.246097980776,2.527352816945,0.782434660464,-0.004327679098,-1.154339578327,0.766172475443,0.532908962362,-0.862660276905,-0.738147309369,-0.391065451842,-0.756990368257,0.999605791972,-0.564167469489,-0.18045180328,O24,0,+,1.0,-109.7369302,O24,0,+,1.0,-109.7369302,7.14984287,0.3884598281288265,-0.1000323243608259,2.8306679889679747,8,16,-103.86389,2.8731892,2.5285800047247857,0.03493529858568062
15412,4,-0.336678037786,-0.337633529024,-0.337496673934,-0.250521781007,2.487066264973,1.480662155906,-0.000377765293,-1.111432020387,0.816046597305,0.522983321575,-0.851961796265,-0.754939462783,-0.465960461307,-0.696210370241,0.9702425976,-0.082520950317,0.022949233772,O24,0,+,1.0,-92.3985509,O24,0,+,1.0,-92.3985509,7.5502536,0.4484057286446483,-0.0991187827342251,2.9110052277367044,8,16,-89.53681,2.953648,2.4773382381033358,0.033792656889355496
17355,4,-0.336561153286,-0.33070418896,-0.335932473018,-0.224544672229,2.398932671841,0.773157523453,0.058309291234,-1.034842942211,0.655914815072,0.246053008514,-0.726935994258,-0.744303890167,-0.342739287553,-0.847046591711,1.032626946939,3.438269510077,0.624358198542,O24,0,+,1.0,-70.0307586,O24,0,+,1.0,-70.0307586,8.39907244,0.7972876226089654,-0.0573279665076695,3.1166396946232484,8,16,-68.27933,3.1445491,2.5978073133580777,0.0337309010106676
17862,4,-0.339407331906,-0.346224882003,-0.344764017923,-0.235294677209,2.622145616686,0.926474485368,-0.034361135771,-1.278659916215,0.797885795311,0.242501864652,-0.893021379595,-0.774986637344,-0.633464644149,-0.470639849557,0.86827824714,2.695208283526,0.609130728323,O24,0,+,1.0,-68.0001148,O24,0,+,1.0,-68.0001148,8.12029891,0.5909366323045421,-0.0862639333754811,3.033048383875381,8,16,-64.27706,3.0728247,2.5155784519599784,0.03628901077313089
18060,4,-0.340280973313,-0.340546121747,-0.341688787882,-0.237628162514,2.577477992714,1.145271295162,0.083405575355,-0.888401597679,0.806921994071,0.284284851188,-0.836000012719,-0.765847644927,-0.403501795356,-0.789390242156,0.956625533854,-2.363699016063,-0.239097286356,O24,0,+,1.0,-79.6469932,O24,0,+,1.0,-79.6469932,7.88086084,0.4794625904249801,-0.0882271858776518,2.974307841254386,8,16,-77.66905,3.0254052,2.4935001656732485,0.03481183100749335
23778,4,-0.328657229577,-0.327255432275,-0.329000960225,-0.240573665232,2.343591832867,1.491773843029,0.02982155246,-1.063158302609,0.699066698757,0.499009200744,-0.753879185394,-0.727061343852,-0.305586469849,-0.875137485332,1.099406253431,3.884709223548,0.661740777372,O24,0,+,1.0,-81.42303840000001,O24,0,+,1.0,-81.42303840000001,8.12694767,0.6487535186161371,-0.0810534661800627,3.044512869481105,8,16,-79.79494,3.0635998,2.646666001017711,0.03494142403017042
25266,4,-0.332689246953,-0.336354729443,-0.330625456731,-0.24309331515,2.466148750615,0.507794425644,0.054546135869,-0.922750918393,0.79674015176,0.393773329001,-0.773535763886,-0.714947074889,-0.388579918714,-0.772542337833,1.014043464681,-3.661816657592,-0.67160979479,O24,0,+,1.0,-79.5662047,O24,0,+,1.0,-79.5662047,7.51834169,0.5577400402921113,-0.0811601298056883,2.927342222987675,8,16,-78.282265,2.9488559,2.6109016104326517,0.036172574312798314
26807,4,-0.325228004936,-0.319450891558,-0.322259700062,-0.239838951132,2.167160299447,1.357264654054,0.027412083331,-1.139211537494,0.726749089118,0.441689379722,-0.823430354623,-0.741993389945,-0.34562678068,-0.826568978678,1.126005359662,0.397787740932,-0.189475021575,O24,0,+,1.0,-83.7176095,O24,0,+,1.0,-83.7176095,7.66472861,0.5095515249274688,-0.0963283478025345,2.941489873707699,8,16,-79.96432,2.9729407,2.4477540884282414,0.036778233435246506
